surah_number,surah_name,ayah_number,reciter,word_number,start_time_ms,end_time_ms,duration_ms,audio_url
113,Al-Falaq,3,Yasser Al-Dosari,5,3360,4240,880,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/113003.mp3
113,Al-Falaq,4,Yasser Al-Dosari,1,0,70,70,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/113004.mp3
113,Al-Falaq,4,Yasser Al-Dosari,2,720,1320,600,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/113004.mp3
113,Al-Falaq,4,Yasser Al-Dosari,3,1920,3240,1320,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/113004.mp3
113,Al-Falaq,4,Yasser Al-Dosari,4,3410,3510,100,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/113004.mp3
113,Al-Falaq,4,Yasser Al-Dosari,5,3640,4600,960,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/113004.mp3
113,Al-Falaq,5,Yasser Al-Dosari,1,0,70,70,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/113005.mp3
113,Al-Falaq,5,Yasser Al-Dosari,2,1560,2240,680,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/113005.mp3
113,Al-Falaq,5,Yasser Al-Dosari,3,2400,3200,800,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/113005.mp3
113,Al-Falaq,5,Yasser Al-Dosari,4,3760,3920,160,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/113005.mp3
113,Al-Falaq,5,Yasser Al-Dosari,5,4160,5720,1560,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/113005.mp3
